statename,state,Year,population,density,citi_1,nominate_dim1,Incumbent_D,Incumbent_R,PD,PR,South_ext,counter,favsonD,stategdp,stategdp_percap,counter2,spline,uni_dem,Tashijan
Alabama,1,1972,3444165,68,22.99286652,0.12800001,0,1,1,1,1,1,1,13623600000,3955.55962,4,-53.333332,1,0
Alaska,2,1972,300382,0.5,70.26426697,0.43199998,0,1,0,0,0,1,0,2539500000,8454.234941,4,-53.333332,0,0
Arizona,3,1972,1770900,15.6,42.22231293,0.38699999,0,1,0,0,0,1,0,9649000000,5448.641933,4,-53.333332,0,0
Arkansas,4,1972,1923295,37,42.09135437,0.26640001,0,1,0,0,1,1,0,7440200000,3868.465316,4,-53.333332,1,0
California,5,1972,19953134,128.1,54.01467514,0.47013637,0,1,1,1,0,1,0,1.20E+11,6032.751547,4,-53.333332,0,0
Colorado,6,1972,2207259,21.3,35.62492371,0.32300001,0,1,0,0,0,1,0,11998000000,5435.701021,4,-53.333332,0,0
Connecticut,7,1972,3031709,626.1,60.79284668,0.29260001,0,1,0,0,0,1,0,17128800000,5649.882624,4,-53.333332,0,0
Delaware,8,1972,548104,281.3,46.51922607,0.31400001,0,1,0,0,0,1,0,3623400000,6610.789193,4,-53.333332,0,0
Florida,9,1972,6789443,126.6,31.30678177,0.1753,0,1,1,1,0,1,0,34161000000,5031.487855,4,-53.333332,1,0
Georgia,10,1972,4589575,79.8,28.48366737,0.095454544,0,1,0,0,1,1,0,21570300000,4699.846936,4,-53.333332,1,0
Hawaii,11,1972,768561,119.7,65.16777039,0.40366668,0,1,0,0,0,1,0,5187700000,6749.887127,4,-53.333332,1,0
Idaho,12,1972,712567,8.6,47.44565964,0.384,0,1,0,0,0,1,0,3265300000,4582.446282,4,-53.333332,0,0
Illinois,13,1972,11113976,200.2,50.82181168,0.41446152,0,1,1,1,0,1,0,67378900000,6062.537835,4,-53.333332,0,0
Indiana,14,1972,5193669,145,47.50709915,0.31228572,0,1,1,1,0,1,0,26882300000,5175.974826,4,-53.333332,0,0
Iowa,15,1972,2824376,50.6,45.56496811,0.43833333,0,1,0,0,0,1,0,13666200000,4838.661708,4,-53.333332,0,0
Kansas,16,1972,2246578,27.5,46.28167343,0.248,0,1,0,0,0,1,0,10824500000,4818.216861,4,-53.333332,0,0
Kentucky,17,1972,3218706,81.5,47.1294899,0.25033334,0,1,0,0,1,1,0,15568200000,4836.788449,4,-53.333332,0,0
Louisiana,18,1972,3641306,84.3,24.4491787,0.081749998,0,1,0,0,1,1,0,18633800000,5117.339768,4,-53.333332,1,0
Maine,19,1972,992048,32.2,61.911026,0.40133333,0,1,0,0,0,1,1,4207200000,4240.923826,4,-53.333332,0,0
Maryland,20,1972,3922399,404.1,55.36643982,0.31119999,0,1,1,1,0,1,0,20501200000,5226.699273,4,-53.333332,1,0
